Country,Jan2020_cases,Jan2020_deaths,Feb2020_cases,Feb2020_deaths,Mar2020_cases,Mar2020_deaths,Apr2020_cases,Apr2020_deaths,May2020_cases,May2020_deaths,Jun2020_cases,Jun2020_deaths,Jul2020_cases,Jul2020_deaths,Aug2020_cases,Aug2020_deaths,Sep2020_cases,Sep2020_deaths,Oct2020_cases,Oct2020_deaths,Nov2020_cases,Nov2020_deaths,Dec2020_cases,Dec2020_deaths,Jan2021_cases,Jan2021_deaths,Feb2021_cases,Feb2021_deaths,Mar2021_cases,Mar2021_deaths,Apr2021_cases,Apr2021_deaths,May2021_cases,May2021_deaths,Jun2021_cases,Jun2021_deaths,Jul2021_cases,Jul2021_deaths,Aug2021_cases,Aug2021_deaths,Sep2021_cases,Sep2021_deaths,Oct2021_cases,Oct2021_deaths,Nov2021_cases,Nov2021_deaths,Dec2021_cases,Dec2021_deaths,Jan2022_cases,Jan2022_deaths,Feb2022_cases,Feb2022_deaths,Mar2022_cases,Mar2022_deaths,Apr2022_cases,Apr2022_deaths,May2022_cases,May2022_deaths,Jun2022_cases,Jun2022_deaths,Jul2022_cases,Jul2022_deaths,Aug2022_cases,Aug2022_deaths,Sep2022_cases,Sep2022_deaths,Oct2022_cases,Oct2022_deaths,Nov2022_cases,Nov2022_deaths,Dec2022_cases,Dec2022_deaths,Jan2023_cases,Jan2023_deaths,Feb2023_cases,Feb2023_deaths,Mar2023_cases,Mar2023_deaths,Death_Rate
United Arab Emirates,4,0,21,0,664,6,12481,105,34557,264,48667,315,60506,351,70231,384,94190,419,132629,495,168860,572,207822,669,303609,850,391524,1221,461444,1497,520236,1587,570836,1680,632907,1811,680858,1949,718370,2041,735992,2097,739905,2136,742041,2147,761937,2164,845058,2243,879973,2301,891300,2302,898571,2302,908205,2305,945800,2316,991564,2335,1015398,2341,1027502,2345,1037636,2348,1044343,2348,1047008,2348,1049409,2348,1051998,2349,1053213,2349,0.22303180838064096
United Kingdom,2,1,61,3,38788,5145,178765,39062,257535,52569,285213,56284,304789,57434,338076,57984,455847,58875,1014788,64308,1633679,77759,2496187,95107,3828131,131791,4188823,148638,4359979,152949,4432245,154069,4503229,154499,4817245,154982,5883411,156844,6821318,160192,7843855,164640,9100533,169243,10285443,173763,13010853,177869,17430856,184634,19021076,188575,21309769,193028,22213972,198162,22486997,200321,22918904,201790,23515892,205481,23738015,207831,23893361,209268,24122922,212350,24225062,214179,24365688,217054,24507298,220064,24603373,220721,24658705,220721,0.8951037777531302
Uruguay,0,0,0,0,338,1,643,17,823,22,936,27,1264,35,1595,44,2046,48,3124,58,5857,77,19119,181,41738,436,57994,608,105549,974,198428,2616,294503,4276,369350,5593,381517,5964,384934,6032,388928,6055,393899,6078,399695,6131,413383,6170,668425,6479,842462,6985,887935,7159,897867,7203,925777,7238,957629,7331,969803,7403,979160,7445,985422,7485,990560,7518,993875,7537,1011988,7562,1032710,7609,1034303,7617,1034303,7617,0.7364379683709706
Uzbekistan,0,0,0,0,172,2,2039,9,3623,15,8503,26,24009,141,41893,320,56717,470,66932,566,73094,610,77060,614,78711,621,79926,622,82869,629,90808,649,100335,690,110677,736,129327,874,156394,1082,173895,1239,185963,1323,193208,1402,198903,1485,223008,1564,236405,1635,237749,1637,238596,1637,239028,1637,240764,1637,243093,1637,243801,1637,244218,1637,244648,1637,246520,1637,249217,1637,250567,1637,250932,1637,251247,1637,0.6515500682595216
Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,3,0,4,1,4,1,4,1,4,1,4,1,4,1,6,1,6,1,7,1,7,1,18,1,3379,2,7330,13,9088,14,11266,14,11724,14,11815,14,11950,14,11981,14,11981,14,12013,14,12014,14,12014,14,12014,14,0.1165307141668054
Venezuela,0,0,0,0,135,3,333,16,1510,14,5832,51,18574,164,46728,386,75122,628,92013,798,102394,897,113558,1028,126927,1189,139116,1344,160497,1602,197683,2136,234165,2646,272712,3119,305766,3591,334343,4010,368968,4469,407151,4891,431296,5144,444635,5328,485974,5447,515124,5636,520373,5682,522325,5709,523654,5721,526022,5732,535836,5763,542508,5796,544803,5814,545899,5820,547396,5828,550522,5832,551587,5845,551981,5853,552162,5854,1.0601961018686545
Vietnam,2,0,16,0,212,0,270,0,328,0,355,0,558,3,1044,34,1094,35,1180,35,1347,35,1465,35,1817,35,2448,35,2603,35,2928,35,7432,47,17052,81,150060,1306,462096,11064,790755,19301,921122,22083,1238082,25252,1731257,32394,2275727,37777,3443485,40252,9564609,42493,10649809,43041,10719379,43079,10746470,43087,10779632,43093,11411679,43117,11479356,43148,11502885,43163,11515908,43175,11525231,43186,11526497,43186,11526917,43186,11526994,43186,0.3746510148265888
West Bank and Gaza,0,0,0,0,119,1,344,2,448,3,2428,8,11837,82,22729,152,39899,311,53520,483,85647,732,138004,1400,158962,1833,183612,2042,242353,2627,296462,3249,308350,3497,314167,3563,316738,3603,342282,3680,403716,4098,452997,4663,460053,4796,469748,4919,524716,5098,645947,5501,655750,5655,657060,5657,657705,5660,659853,5660,682096,5678,702332,5704,702768,5707,703036,5708,703036,5708,703228,5708,703228,5708,703228,5708,703228,5708,0.8116855415313383
Winter Olympics 2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,0,521,0,535,0,535,0,535,0,535,0,535,0,535,0,535,0,535,0,535,0,535,0,535,0,535,0,535,0,0.0
Yemen,0,0,0,0,0,0,6,2,323,80,1158,312,1728,493,1958,566,2034,587,2063,599,2077,605,2099,610,2121,615,2285,634,4357,888,6317,1226,6742,1321,6920,1361,7061,1375,7869,1472,9067,1721,9791,1889,10004,1950,10126,1984,11019,2012,11771,2135,11806,2143,11818,2149,11822,2149,11824,2149,11877,2151,11926,2155,11935,2157,11939,2158,11945,2159,11945,2159,11945,2159,11945,2159,11945,2159,18.07450816241105
Zambia,0,0,0,0,35,0,106,3,1057,7,1594,24,5963,151,12097,288,14759,332,16432,349,17647,357,20725,388,54217,763,78534,1091,88418,1208,91586,1251,95263,1281,154948,2199,195816,3389,206327,3602,209046,3648,209734,3661,210169,3667,254274,3734,305047,3917,312750,3952,316850,3966,319594,3976,321779,3987,325857,4006,329483,4015,332822,4016,333531,4017,333681,4017,333746,4019,334425,4024,340763,4047,343012,4057,343135,4057,1.1823334839057513
Zimbabwe,0,0,0,0,8,1,40,4,178,4,591,7,3169,67,6497,202,7838,228,8367,243,9950,276,13867,363,33388,1217,36089,1463,36882,1523,38257,1567,38961,1594,49864,1789,108860,3532,124773,4419,130820,4623,132977,4678,134625,4707,213258,5004,229666,5338,236380,5395,246286,5444,247875,5469,252398,5503,255586,5555,256378,5577,256726,5596,257465,5602,257893,5606,259164,5620,259981,5637,261606,5652,263921,5663,264276,5671,2.1458626587355645
